,min,max,mean,median,std,variance
num,18434.0,1863845.0,99277.011,73047.0,126965.561,16120253558.122
m,9170.0,861340.0,47926.081,35656.5,59038.078,3485494609.929
f,9264.0,1002505.0,51350.931,37001.5,67956.64,4618104872.99
procentage_of_m,45.665,51.17,48.736,48.977,0.957,0.916
Num of alc,0.0,63.0,1.006,0.0,3.646,13.292
RAZEM Pożar (P),0.0,4252.0,272.772,209.0,290.707,84510.388
RAZEM Miejscowe zagrożenie (MZ),0.0,13139.0,1029.858,772.0,1015.162,1030553.03
RAZEM Alarm fałszywy (AF),0.0,5456.0,142.886,78.0,348.111,121181.327
