TERYT,Województwo,Powiat,Gmina,RAZEM Pożar (P),Mały (P/M),Średni (P/Ś),Duży (P/D),Bardzo duży (P/BD),RAZEM Miejscowe zagrożenie (MZ),Małe (MZ/M),Lokalne (MZ/L),Średnie (MZ/Ś),Duże (MZ/D),Gigantyczne lub klęska żywiołowa (MZ/K),RAZEM Alarm fałszywy (AF),Złośliwy (A/Z),W dobrej wierze (A/DW),Z instalacji wykrywania (A/IW),OGÓŁEM
20101,dolnośląskie,bolesławiecki,Bolesławiec,79,77,2,0,0,366,53,294,18,1,0,61,9,37,15,506
20102,dolnośląskie,bolesławiecki,Bolesławiec,75,73,2,0,0,427,67,333,22,5,0,23,1,17,5,525
20103,dolnośląskie,bolesławiecki,Gromadka,66,63,2,1,0,77,10,63,3,1,0,10,0,7,3,153
20104,dolnośląskie,bolesławiecki,Nowogrodziec,155,149,6,0,0,197,23,164,8,2,0,18,2,16,0,370
20105,dolnośląskie,bolesławiecki,Osiecznica,41,41,0,0,0,98,11,85,2,0,0,14,0,9,5,153
20106,dolnośląskie,bolesławiecki,Warta Bolesławiecka,52,50,2,0,0,81,8,69,4,0,0,16,0,8,8,149
20201,dolnośląskie,dzierżoniowski,Bielawa,74,71,2,1,0,165,40,121,4,0,0,19,1,14,4,258
20202,dolnośląskie,dzierżoniowski,Dzierżoniów,83,83,0,0,0,288,80,201,6,1,0,47,6,27,14,418
20203,dolnośląskie,dzierżoniowski,Pieszyce,26,25,1,0,0,139,23,115,1,0,0,4,1,3,0,169
20204,dolnośląskie,dzierżoniowski,Piława Górna,15,15,0,0,0,46,7,36,3,0,0,2,0,2,0,63
20205,dolnośląskie,dzierżoniowski,Dzierżoniów,28,28,0,0,0,229,36,183,10,0,0,8,1,7,0,265
20206,dolnośląskie,dzierżoniowski,Łagiewniki,58,55,3,0,0,68,7,58,3,0,0,7,1,6,0,133
20207,dolnośląskie,dzierżoniowski,Niemcza,18,18,0,0,0,67,8,55,4,0,0,6,1,4,1,91
20301,dolnośląskie,głogowski,Głogów,200,195,4,1,0,371,15,330,17,9,0,123,2,114,7,694
20302,dolnośląskie,głogowski,Głogów,39,34,5,0,0,73,1,70,2,0,0,14,0,13,1,126
20303,dolnośląskie,głogowski,Jerzmanowa,16,16,0,0,0,65,0,61,3,1,0,5,0,4,1,86
20304,dolnośląskie,głogowski,Kotla,24,23,1,0,0,33,0,25,8,0,0,2,0,2,0,59
20305,dolnośląskie,głogowski,Pęcław,7,7,0,0,0,29,1,19,7,2,0,2,0,2,0,38
20306,dolnośląskie,głogowski,Żukowice,17,16,1,0,0,49,0,38,9,2,0,10,0,9,1,76
20401,dolnośląskie,górowski,Góra,85,82,2,0,1,223,55,160,8,0,0,10,0,9,1,318
20402,dolnośląskie,górowski,Jemielno,14,12,2,0,0,61,21,36,3,1,0,1,0,1,0,76
20403,dolnośląskie,górowski,Niechlów,19,17,2,0,0,126,62,54,9,1,0,2,0,2,0,147
20404,dolnośląskie,górowski,Wąsosz,33,28,4,1,0,93,21,70,2,0,0,6,0,5,1,132
20501,dolnośląskie,jaworski,Jawor,41,40,1,0,0,287,110,172,5,0,0,31,0,27,4,359
20502,dolnośląskie,jaworski,Bolków,57,56,1,0,0,368,47,315,6,0,0,24,2,22,0,449
20503,dolnośląskie,jaworski,Męcinka,32,31,1,0,0,155,30,123,2,0,0,7,0,7,0,194
20504,dolnośląskie,jaworski,Mściwojów,24,24,0,0,0,81,15,65,1,0,0,8,1,7,0,113
20505,dolnośląskie,jaworski,Paszowice,15,14,1,0,0,127,14,112,1,0,0,5,0,5,0,147
20506,dolnośląskie,jaworski,Wądroże Wielkie,24,22,1,1,0,75,19,52,4,0,0,9,1,5,3,108
20601,dolnośląskie,karkonoski,Karpacz,16,14,2,0,0,173,48,120,5,0,0,14,0,8,6,203
20602,dolnośląskie,karkonoski,Kowary,55,54,1,0,0,218,82,134,2,0,0,20,1,18,1,293
20603,dolnośląskie,karkonoski,Piechowice,25,25,0,0,0,111,27,83,1,0,0,7,0,7,0,143
20604,dolnośląskie,karkonoski,Szklarska Poręba,19,18,1,0,0,197,65,127,5,0,0,36,0,21,15,252
20605,dolnośląskie,karkonoski,Janowice Wielkie,19,19,0,0,0,102,15,81,6,0,0,6,0,6,0,127
20606,dolnośląskie,karkonoski,Jeżów Sudecki,28,28,0,0,0,200,32,166,2,0,0,15,0,14,1,243
20607,dolnośląskie,karkonoski,Mysłakowice,40,35,5,0,0,285,36,239,9,1,0,20,2,13,5,345
20608,dolnośląskie,karkonoski,Podgórzyn,40,39,1,0,0,289,62,220,7,0,0,17,0,14,3,346
20609,dolnośląskie,karkonoski,Stara Kamienica,26,24,2,0,0,256,37,212,7,0,0,14,0,13,1,296
20701,dolnośląskie,kamiennogórski,Kamienna Góra,52,51,1,0,0,366,65,297,3,1,0,23,1,14,8,441
20702,dolnośląskie,kamiennogórski,Kamienna Góra,36,34,2,0,0,249,30,212,7,0,0,10,0,5,5,295
20703,dolnośląskie,kamiennogórski,Lubawka,29,28,1,0,0,193,31,158,4,0,0,6,0,6,0,228
20704,dolnośląskie,kamiennogórski,Marciszów,27,26,1,0,0,159,39,114,6,0,0,1,0,1,0,187
20801,dolnośląskie,kłodzki,Duszniki-Zdrój,10,10,0,0,0,74,13,60,1,0,0,14,1,8,5,98
20802,dolnośląskie,kłodzki,Kłodzko,59,58,1,0,0,350,62,273,15,0,0,44,0,34,10,453
20803,dolnośląskie,kłodzki,Kudowa-Zdrój,36,35,1,0,0,144,28,112,4,0,0,9,0,5,4,189
20804,dolnośląskie,kłodzki,Nowa Ruda,79,76,3,0,0,239,30,198,9,2,0,29,1,25,3,347
20805,dolnośląskie,kłodzki,Polanica-Zdrój,20,20,0,0,0,102,17,83,2,0,0,11,0,2,9,133
20806,dolnośląskie,kłodzki,Bystrzyca Kłodzka,49,49,0,0,0,354,49,295,10,0,0,34,0,27,7,437
20807,dolnośląskie,kłodzki,Kłodzko,91,91,0,0,0,556,39,504,13,0,0,26,0,24,2,673
20808,dolnośląskie,kłodzki,Lądek-Zdrój,29,26,3,0,0,194,34,143,14,0,3,20,0,19,1,243
20809,dolnośląskie,kłodzki,Lewin Kłodzki,6,6,0,0,0,73,10,61,2,0,0,7,1,5,1,86
20810,dolnośląskie,kłodzki,Międzylesie,39,38,1,0,0,212,15,193,4,0,0,7,0,5,2,258
20811,dolnośląskie,kłodzki,Nowa Ruda,56,53,3,0,0,263,14,244,5,0,0,13,1,12,0,332
20812,dolnośląskie,kłodzki,Radków,45,43,2,0,0,263,20,236,7,0,0,12,0,11,1,320
20813,dolnośląskie,kłodzki,Stronie Śląskie,32,32,0,0,0,156,27,124,4,0,1,27,0,14,13,215
20814,dolnośląskie,kłodzki,Szczytna,28,27,1,0,0,130,14,112,4,0,0,10,0,8,2,168
20901,dolnośląskie,legnicki,Chojnów,40,38,2,0,0,117,28,87,2,0,0,10,0,6,4,167
20902,dolnośląskie,legnicki,Chojnów,121,111,9,0,1,168,27,130,9,2,0,17,0,13,4,306
20903,dolnośląskie,legnicki,Krotoszyce,57,56,1,0,0,91,10,75,6,0,0,13,0,8,5,161
20904,dolnośląskie,legnicki,Kunice,29,25,4,0,0,110,37,65,8,0,0,16,0,14,2,155
20905,dolnośląskie,legnicki,Legnickie Pole,31,30,1,0,0,68,15,48,4,1,0,13,0,3,10,112
20906,dolnośląskie,legnicki,Miłkowice,89,82,6,1,0,114,20,90,4,0,0,10,0,8,2,213
20907,dolnośląskie,legnicki,Prochowice,59,52,3,3,1,106,35,59,10,1,1,7,0,6,1,172
20908,dolnośląskie,legnicki,Ruja,10,9,1,0,0,47,10,37,0,0,0,5,0,3,2,62
21001,dolnośląskie,lubański,Lubań,86,83,3,0,0,215,31,182,2,0,0,33,0,29,4,334
21002,dolnośląskie,lubański,Świeradów-Zdrój,28,25,3,0,0,187,17,167,2,1,0,35,0,11,24,250
21003,dolnośląskie,lubański,Leśna,49,48,1,0,0,208,23,177,8,0,0,16,0,16,0,273
21004,dolnośląskie,lubański,Lubań,45,43,2,0,0,103,9,91,3,0,0,10,1,9,0,158
21005,dolnośląskie,lubański,Olszyna,39,36,3,0,0,102,12,87,2,1,0,9,1,8,0,150
21006,dolnośląskie,lubański,Platerówka,14,13,1,0,0,33,1,31,1,0,0,2,0,2,0,49
21007,dolnośląskie,lubański,Siekierczyn,16,15,1,0,0,48,8,40,0,0,0,6,0,6,0,70
21101,dolnośląskie,lubiński,Lubin,126,125,1,0,0,347,85,260,2,0,0,153,0,78,75,626
21102,dolnośląskie,lubiński,Lubin,95,90,4,1,0,170,11,155,4,0,0,20,0,20,0,285
21103,dolnośląskie,lubiński,Rudna,41,40,0,1,0,108,11,85,11,1,0,6,0,6,0,155
21104,dolnośląskie,lubiński,Ścinawa,37,33,4,0,0,108,17,82,5,4,0,8,2,5,1,153
21201,dolnośląskie,lwówecki,Gryfów Śląski,53,51,1,1,0,131,3,125,3,0,0,5,0,4,1,189
21202,dolnośląskie,lwówecki,Lubomierz,42,40,1,1,0,145,4,141,0,0,0,13,2,7,4,200
21203,dolnośląskie,lwówecki,Lwówek Śląski,81,76,5,0,0,277,23,246,8,0,0,21,1,10,10,379
21204,dolnośląskie,lwówecki,Mirsk,56,53,3,0,0,365,5,358,1,1,0,11,0,10,1,432
21205,dolnośląskie,lwówecki,Wleń,18,17,1,0,0,402,16,381,4,1,0,6,0,6,0,426
21301,dolnośląskie,milicki,Cieszków,14,14,0,0,0,73,5,62,6,0,0,4,0,4,0,91
21302,dolnośląskie,milicki,Krośnice,36,33,3,0,0,155,13,138,4,0,0,7,0,7,0,198
21303,dolnośląskie,milicki,Milicz,81,77,3,1,0,789,278,501,10,0,0,35,0,26,9,905
21401,dolnośląskie,oleśnicki,Oleśnica,67,67,0,0,0,239,53,185,1,0,0,15,1,8,6,321
21402,dolnośląskie,oleśnicki,Bierutów,41,38,3,0,0,127,20,103,4,0,0,0,0,0,0,168
21403,dolnośląskie,oleśnicki,Dobroszyce,30,29,1,0,0,46,7,37,2,0,0,5,0,2,3,81
21404,dolnośląskie,oleśnicki,Dziadowa Kłoda,20,20,0,0,0,36,3,32,1,0,0,4,1,3,0,60
21405,dolnośląskie,oleśnicki,Międzybórz,28,26,2,0,0,56,2,50,4,0,0,2,0,1,1,86
21406,dolnośląskie,oleśnicki,Oleśnica,85,80,5,0,0,162,10,148,4,0,0,6,0,6,0,253
21407,dolnośląskie,oleśnicki,Syców,37,35,1,0,1,170,27,138,5,0,0,13,0,9,4,220
21408,dolnośląskie,oleśnicki,Twardogóra,50,47,3,0,0,176,13,159,3,1,0,4,0,4,0,230
21501,dolnośląskie,oławski,Oława,72,70,2,0,0,334,105,221,7,1,0,75,1,29,45,481
21502,dolnośląskie,oławski,Domaniów,23,18,5,0,0,67,6,56,5,0,0,6,0,5,1,96
21503,dolnośląskie,oławski,Jelcz-Laskowice,106,105,0,1,0,262,65,178,18,1,0,26,2,19,5,394
21504,dolnośląskie,oławski,Oława,76,72,3,1,0,202,39,139,23,1,0,13,0,11,2,291
21601,dolnośląskie,polkowicki,Chocianów,43,43,0,0,0,146,15,129,2,0,0,17,2,15,0,206
21602,dolnośląskie,polkowicki,Gaworzyce,9,9,0,0,0,50,2,45,3,0,0,4,0,4,0,63
21603,dolnośląskie,polkowicki,Grębocice,15,15,0,0,0,37,1,32,4,0,0,1,0,1,0,53
21604,dolnośląskie,polkowicki,Polkowice,72,70,2,0,0,236,36,196,4,0,0,38,1,31,6,346
21605,dolnośląskie,polkowicki,Przemków,46,46,0,0,0,110,19,89,2,0,0,5,0,5,0,161
21606,dolnośląskie,polkowicki,Radwanice,27,23,4,0,0,64,4,58,2,0,0,3,0,3,0,94
21701,dolnośląskie,strzeliński,Borów,37,36,1,0,0,118,14,100,4,0,0,5,0,5,0,160
21702,dolnośląskie,strzeliński,Kondratowice,35,32,3,0,0,69,13,56,0,0,0,3,0,3,0,107
21703,dolnośląskie,strzeliński,Przeworno,29,25,3,1,0,62,7,54,1,0,0,1,0,1,0,92
21704,dolnośląskie,strzeliński,Strzelin,66,61,4,1,0,295,51,236,8,0,0,33,1,23,9,394
21705,dolnośląskie,strzeliński,Wiązów,35,34,1,0,0,111,21,80,10,0,0,16,0,16,0,162
21801,dolnośląskie,średzki,Kostomłoty,35,34,1,0,0,135,18,108,7,2,0,16,0,15,1,186
21802,dolnośląskie,średzki,Malczyce,24,21,3,0,0,116,14,98,4,0,0,7,0,6,1,147
21803,dolnośląskie,średzki,Miękinia,75,72,2,1,0,169,17,141,9,2,0,51,0,33,18,295
21804,dolnośląskie,średzki,Środa Śląska,79,74,5,0,0,250,28,212,9,1,0,28,1,22,5,357
21805,dolnośląskie,średzki,Udanin,45,42,3,0,0,84,8,69,7,0,0,11,1,9,1,140
21901,dolnośląskie,świdnicki,Świdnica,80,79,1,0,0,346,105,234,6,1,0,86,1,62,23,512
21902,dolnośląskie,świdnicki,Świebodzice,62,60,1,1,0,157,24,129,4,0,0,14,2,12,0,233
21903,dolnośląskie,świdnicki,Dobromierz,35,35,0,0,0,150,20,123,7,0,0,7,1,6,0,192
21904,dolnośląskie,świdnicki,Jaworzyna Śląska,42,41,1,0,0,92,17,70,5,0,0,7,0,6,1,141
21905,dolnośląskie,świdnicki,Marcinowice,37,36,1,0,0,160,11,143,5,1,0,9,0,9,0,206
21906,dolnośląskie,świdnicki,Strzegom,126,123,3,0,0,382,64,308,9,1,0,17,3,13,1,525
21907,dolnośląskie,świdnicki,Świdnica,52,45,6,1,0,328,46,271,10,1,0,23,0,17,6,403
21908,dolnośląskie,świdnicki,Żarów,32,30,2,0,0,168,32,132,3,1,0,5,0,5,0,205
22001,dolnośląskie,trzebnicki,Oborniki Śląskie,80,72,7,1,0,422,58,347,17,0,0,31,0,30,1,533
22002,dolnośląskie,trzebnicki,Prusice,47,46,1,0,0,101,10,85,6,0,0,15,0,11,4,163
22003,dolnośląskie,trzebnicki,Trzebnica,89,88,1,0,0,301,32,263,6,0,0,57,2,37,18,447
22004,dolnośląskie,trzebnicki,Wisznia Mała,48,46,2,0,0,199,73,119,7,0,0,16,0,14,2,263
22005,dolnośląskie,trzebnicki,Zawonia,30,29,1,0,0,81,8,71,2,0,0,10,0,10,0,121
22006,dolnośląskie,trzebnicki,Żmigród,46,45,1,0,0,357,170,175,12,0,0,13,0,12,1,416
22101,dolnośląskie,wałbrzyski,Boguszów-Gorce,62,62,0,0,0,195,14,172,9,0,0,5,1,2,2,262
22102,dolnośląskie,wałbrzyski,Jedlina-Zdrój,9,9,0,0,0,54,13,40,1,0,0,4,2,1,1,67
22103,dolnośląskie,wałbrzyski,Szczawno-Zdrój,15,15,0,0,0,49,7,39,3,0,0,10,0,1,9,74
22104,dolnośląskie,wałbrzyski,Czarny Bór,21,21,0,0,0,93,4,83,6,0,0,2,0,2,0,116
22105,dolnośląskie,wałbrzyski,Głuszyca,25,25,0,0,0,106,20,85,1,0,0,3,0,3,0,134
22106,dolnośląskie,wałbrzyski,Mieroszów,24,21,3,0,0,130,17,111,2,0,0,8,0,5,3,162
22107,dolnośląskie,wałbrzyski,Stare Bogaczowice,18,18,0,0,0,94,8,82,4,0,0,2,0,2,0,114
22108,dolnośląskie,wałbrzyski,Walim,10,8,2,0,0,124,14,109,1,0,0,7,0,5,2,141
22201,dolnośląskie,wołowski,Brzeg Dolny,41,39,2,0,0,237,80,152,5,0,0,17,0,15,2,295
22202,dolnośląskie,wołowski,Wińsko,56,52,3,1,0,165,92,70,3,0,0,3,0,2,1,224
22203,dolnośląskie,wołowski,Wołów,74,68,3,3,0,372,125,240,4,3,0,18,0,14,4,464
22301,dolnośląskie,wrocławski,Czernica,58,58,0,0,0,232,31,178,20,3,0,16,2,12,2,306
22302,dolnośląskie,wrocławski,Długołęka,70,68,2,0,0,358,42,288,27,1,0,48,1,29,18,476
22303,dolnośląskie,wrocławski,Jordanów Śląski,19,17,1,1,0,54,4,48,2,0,0,2,0,1,1,75
22304,dolnośląskie,wrocławski,Kąty Wrocławskie,106,103,3,0,0,545,118,408,19,0,0,49,0,35,14,700
22305,dolnośląskie,wrocławski,Kobierzyce,95,93,2,0,0,293,49,235,9,0,0,86,3,29,54,474
22306,dolnośląskie,wrocławski,Mietków,17,16,0,1,0,95,26,64,5,0,0,8,0,5,3,120
22307,dolnośląskie,wrocławski,Sobótka,45,44,1,0,0,263,45,208,10,0,0,22,0,22,0,330
22308,dolnośląskie,wrocławski,Siechnice,79,77,2,0,0,240,28,194,18,0,0,32,3,22,7,351
22309,dolnośląskie,wrocławski,Żórawina,45,40,5,0,0,144,37,96,10,1,0,20,2,18,0,209
22401,dolnośląskie,ząbkowicki,Bardo,18,17,0,0,1,170,17,137,16,0,0,10,1,8,1,198
22402,dolnośląskie,ząbkowicki,Ciepłowody,7,7,0,0,0,27,3,24,0,0,0,2,0,2,0,36
22403,dolnośląskie,ząbkowicki,Kamieniec Ząbkowicki,22,19,3,0,0,193,13,158,18,4,0,25,1,22,2,240
22404,dolnośląskie,ząbkowicki,Stoszowice,28,27,1,0,0,80,9,67,4,0,0,12,0,7,5,120
22405,dolnośląskie,ząbkowicki,Ząbkowice Śląskie,87,84,1,2,0,263,35,219,8,1,0,53,0,42,11,403
22406,dolnośląskie,ząbkowicki,Ziębice,68,65,3,0,0,275,31,235,9,0,0,40,1,29,10,383
22407,dolnośląskie,ząbkowicki,Złoty Stok,17,15,2,0,0,131,15,114,2,0,0,4,0,4,0,152
22501,dolnośląskie,zgorzelecki,Zawidów,24,21,2,0,1,27,5,22,0,0,0,7,0,7,0,58
22502,dolnośląskie,zgorzelecki,Zgorzelec,164,163,1,0,0,300,48,248,3,1,0,50,4,38,8,514
22503,dolnośląskie,zgorzelecki,Bogatynia,294,289,5,0,0,246,41,201,4,0,0,31,1,25,5,571
22504,dolnośląskie,zgorzelecki,Pieńsk,93,92,0,1,0,100,14,82,4,0,0,11,0,11,0,204
22505,dolnośląskie,zgorzelecki,Sulików,80,78,2,0,0,128,14,110,3,1,0,5,0,5,0,213
22506,dolnośląskie,zgorzelecki,Węgliniec,70,68,2,0,0,127,3,119,5,0,0,4,0,4,0,201
22507,dolnośląskie,zgorzelecki,Zgorzelec,85,82,3,0,0,180,15,156,9,0,0,28,1,12,15,293
22601,dolnośląskie,złotoryjski,Wojcieszów,32,31,1,0,0,114,4,107,3,0,0,1,0,1,0,147
22602,dolnośląskie,złotoryjski,Złotoryja,47,45,2,0,0,129,25,101,3,0,0,29,0,21,8,205
22603,dolnośląskie,złotoryjski,Pielgrzymka,24,23,1,0,0,93,13,78,2,0,0,0,0,0,0,117
22604,dolnośląskie,złotoryjski,Świerzawa,34,34,0,0,0,384,17,360,7,0,0,6,2,3,1,424
22605,dolnośląskie,złotoryjski,Zagrodno,46,45,1,0,0,90,7,76,7,0,0,4,0,3,1,140
22606,dolnośląskie,złotoryjski,Złotoryja,34,33,1,0,0,135,13,116,6,0,0,7,1,6,0,176
26101,dolnośląskie,Jelenia Góra,Jelenia Góra,297,290,5,2,0,1204,329,840,35,0,0,193,4,151,38,1694
26201,dolnośląskie,Legnica,Legnica,500,489,10,1,0,865,329,509,25,2,0,215,10,91,114,1580
26401,dolnośląskie,Wrocław,Wrocław,254,250,4,0,0,424,112,294,18,0,0,642,5,86,551,1320
26402,dolnośląskie,Wrocław,Wrocław,431,425,5,1,0,1359,414,899,43,2,1,359,14,200,145,2149
26403,dolnośląskie,Wrocław,Wrocław,397,389,8,0,0,1071,325,727,19,0,0,394,28,208,158,1862
26404,dolnośląskie,Wrocław,Wrocław,261,255,4,2,0,693,180,494,19,0,0,201,3,126,72,1155
26405,dolnośląskie,Wrocław,Wrocław,177,175,2,0,0,402,91,297,13,1,0,198,5,84,109,777
26406,dolnośląskie,Wrocław,Wrocław,247,247,0,0,0,878,209,643,26,0,0,165,7,106,52,1290
26501,dolnośląskie,Wałbrzych,Wałbrzych,316,313,3,0,0,721,171,538,12,0,0,103,11,46,46,1140
40101,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,32,32,0,0,0,109,11,98,0,0,0,23,0,19,4,164
40102,kujawsko-pomorskie,aleksandrowski,Ciechocinek,23,22,1,0,0,244,29,215,0,0,0,40,0,35,5,307
40103,kujawsko-pomorskie,aleksandrowski,Nieszawa,6,5,1,0,0,14,1,13,0,0,0,1,0,1,0,21
40104,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski,32,29,2,1,0,169,9,159,1,0,0,36,0,36,0,237
40105,kujawsko-pomorskie,aleksandrowski,Bądkowo,9,8,1,0,0,34,1,32,1,0,0,5,1,4,0,48
40106,kujawsko-pomorskie,aleksandrowski,Koneck,5,5,0,0,0,36,1,33,2,0,0,3,0,3,0,44
40107,kujawsko-pomorskie,aleksandrowski,Raciążek,6,6,0,0,0,38,1,37,0,0,0,6,0,6,0,50
40108,kujawsko-pomorskie,aleksandrowski,Waganiec,18,18,0,0,0,32,2,30,0,0,0,5,0,5,0,55
40109,kujawsko-pomorskie,aleksandrowski,Zakrzewo,7,6,0,1,0,23,0,23,0,0,0,1,0,1,0,31
40201,kujawsko-pomorskie,brodnicki,Brodnica,51,50,1,0,0,240,27,210,3,0,0,40,3,25,12,331
40202,kujawsko-pomorskie,brodnicki,Bobrowo,24,22,2,0,0,78,4,72,2,0,0,3,0,3,0,105
40203,kujawsko-pomorskie,brodnicki,Brodnica,24,23,1,0,0,88,6,82,0,0,0,13,1,12,0,125
40204,kujawsko-pomorskie,brodnicki,Brzozie,11,10,1,0,0,49,3,44,2,0,0,3,0,1,2,63
40205,kujawsko-pomorskie,brodnicki,Górzno,9,9,0,0,0,25,2,23,0,0,0,1,0,1,0,35
40206,kujawsko-pomorskie,brodnicki,Bartniczka,5,4,0,1,0,42,0,40,2,0,0,0,0,0,0,47
40207,kujawsko-pomorskie,brodnicki,Jabłonowo Pomorskie,15,15,0,0,0,82,4,78,0,0,0,0,0,0,0,97
40208,kujawsko-pomorskie,brodnicki,Osiek,18,16,1,1,0,65,3,56,5,1,0,2,0,2,0,85
40209,kujawsko-pomorskie,brodnicki,Świedziebnia,15,15,0,0,0,43,3,40,0,0,0,2,0,2,0,60
40210,kujawsko-pomorskie,brodnicki,Zbiczno,19,15,4,0,0,72,2,68,2,0,0,5,0,3,2,96
40301,kujawsko-pomorskie,bydgoski,Białe Błota,63,61,2,0,0,156,26,126,4,0,0,21,0,16,5,240
40302,kujawsko-pomorskie,bydgoski,Dąbrowa Chełmińska,28,28,0,0,0,116,16,96,4,0,0,6,1,1,4,150
40303,kujawsko-pomorskie,bydgoski,Dobrcz,37,33,4,0,0,162,34,120,8,0,0,17,1,14,2,216
40304,kujawsko-pomorskie,bydgoski,Koronowo,70,70,0,0,0,287,61,215,11,0,0,24,1,12,11,381
40305,kujawsko-pomorskie,bydgoski,Nowa Wieś Wielka,41,39,2,0,0,153,29,122,2,0,0,11,1,6,4,205
40306,kujawsko-pomorskie,bydgoski,Osielsko,29,28,1,0,0,104,17,86,1,0,0,17,0,8,9,150
40307,kujawsko-pomorskie,bydgoski,Sicienko,33,33,0,0,0,126,13,105,7,1,0,10,0,8,2,169
40308,kujawsko-pomorskie,bydgoski,Solec Kujawski,56,54,2,0,0,175,40,130,5,0,0,5,0,4,1,236
40401,kujawsko-pomorskie,chełmiński,Chełmno,34,34,0,0,0,290,59,228,3,0,0,18,2,10,6,342
40402,kujawsko-pomorskie,chełmiński,Chełmno,23,22,1,0,0,63,3,58,2,0,0,1,0,1,0,87
40403,kujawsko-pomorskie,chełmiński,Kijewo Królewskie,12,9,2,1,0,117,6,100,11,0,0,3,0,3,0,132
40404,kujawsko-pomorskie,chełmiński,Lisewo,13,12,1,0,0,76,10,62,4,0,0,1,0,1,0,90
40405,kujawsko-pomorskie,chełmiński,Papowo Biskupie,15,15,0,0,0,60,3,53,4,0,0,4,0,4,0,79
40406,kujawsko-pomorskie,chełmiński,Stolno,23,20,3,0,0,84,6,72,5,1,0,5,0,5,0,112
40407,kujawsko-pomorskie,chełmiński,Unisław,16,16,0,0,0,77,11,65,1,0,0,2,0,1,1,95
40501,kujawsko-pomorskie,golubsko-dobrzyński,Golub-Dobrzyń,32,31,1,0,0,104,12,92,0,0,0,17,2,12,3,153
40502,kujawsko-pomorskie,golubsko-dobrzyński,Ciechocin,14,12,2,0,0,68,7,59,2,0,0,3,0,3,0,85
40503,kujawsko-pomorskie,golubsko-dobrzyński,Golub-Dobrzyń,33,30,3,0,0,133,5,126,1,1,0,10,0,8,2,176
40504,kujawsko-pomorskie,golubsko-dobrzyński,Kowalewo Pomorskie,19,19,0,0,0,152,9,141,2,0,0,4,0,4,0,175
40505,kujawsko-pomorskie,golubsko-dobrzyński,Radomin,12,11,1,0,0,61,4,57,0,0,0,0,0,0,0,73
40506,kujawsko-pomorskie,golubsko-dobrzyński,Zbójno,12,12,0,0,0,62,2,60,0,0,0,2,0,0,2,76
40601,kujawsko-pomorskie,grudziądzki,Grudziądz,42,37,5,0,0,237,26,198,13,0,0,15,0,7,8,294
40602,kujawsko-pomorskie,grudziądzki,Gruta,17,16,0,1,0,152,14,134,3,1,0,1,0,1,0,170
40603,kujawsko-pomorskie,grudziądzki,Łasin,33,32,1,0,0,147,9,131,7,0,0,3,1,2,0,183
40604,kujawsko-pomorskie,grudziądzki,Radzyń Chełmiński,23,21,2,0,0,138,16,119,3,0,0,4,0,3,1,165
40605,kujawsko-pomorskie,grudziądzki,Rogóźno,23,23,0,0,0,185,9,170,6,0,0,1,0,1,0,209
40606,kujawsko-pomorskie,grudziądzki,Świecie nad Osą,18,18,0,0,0,59,7,52,0,0,0,2,1,0,1,79
40701,kujawsko-pomorskie,inowrocławski,Inowrocław,144,139,5,0,0,475,54,415,5,1,0,128,6,89,33,747
40702,kujawsko-pomorskie,inowrocławski,Dąbrowa Biskupia,11,10,1,0,0,55,2,52,1,0,0,3,0,2,1,69
40703,kujawsko-pomorskie,inowrocławski,Gniewkowo,30,29,1,0,0,169,10,156,3,0,0,5,0,4,1,204
40704,kujawsko-pomorskie,inowrocławski,Inowrocław,27,25,2,0,0,118,8,104,6,0,0,13,0,13,0,158
40705,kujawsko-pomorskie,inowrocławski,Janikowo,19,17,1,1,0,108,18,88,2,0,0,11,0,8,3,138
40706,kujawsko-pomorskie,inowrocławski,Kruszwica,57,54,3,0,0,193,25,163,5,0,0,24,3,19,2,274
40707,kujawsko-pomorskie,inowrocławski,Pakość,22,21,1,0,0,89,9,79,1,0,0,6,0,6,0,117
40708,kujawsko-pomorskie,inowrocławski,Rojewo,21,18,3,0,0,32,2,30,0,0,0,4,0,2,2,57
40709,kujawsko-pomorskie,inowrocławski,Złotniki Kujawskie,29,25,4,0,0,64,5,58,1,0,0,6,1,4,1,99
40801,kujawsko-pomorskie,lipnowski,Lipno,32,32,0,0,0,131,12,118,1,0,0,17,0,15,2,180
40802,kujawsko-pomorskie,lipnowski,Bobrowniki,26,26,0,0,0,75,0,74,1,0,0,2,0,2,0,103
40803,kujawsko-pomorskie,lipnowski,Chrostkowo,6,5,1,0,0,35,1,32,2,0,0,3,0,3,0,44
40804,kujawsko-pomorskie,lipnowski,Dobrzyń nad Wisłą,26,24,2,0,0,84,7,76,1,0,0,5,1,4,0,115
40805,kujawsko-pomorskie,lipnowski,Kikół,18,18,0,0,0,77,3,73,1,0,0,5,0,4,1,100
40806,kujawsko-pomorskie,lipnowski,Lipno,38,33,4,0,1,126,5,118,3,0,0,10,1,9,0,174
40807,kujawsko-pomorskie,lipnowski,Skępe,24,24,0,0,0,109,3,105,1,0,0,5,0,5,0,138
40808,kujawsko-pomorskie,lipnowski,Tłuchowo,18,17,1,0,0,42,3,39,0,0,0,0,0,0,0,60
